Trace
Swept SA
A.02.06,N9010A
526 FSA ,01
Segment,0
Number of Points,1001
Sweep Time,0.080666666667
Start Frequency,78705062
Stop Frequency,79255062
Average Count,0
Average Type,LogPower(Video)
RBW,5100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,5100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
78705062,-99.4600455061614
78705612,-99.3579826198403
78706162,-100.191391373687
78706712,-99.3914730407451
78707262,-99.4873076100911
78707812,-99.1900420550554
78708362,-98.8887243172896
78708912,-99.2791397764024
78709462,-99.5981374369856
78710012,-99.5962027490985
78710562,-99.9444214399366
78711112,-99.9625198769203
78711662,-99.624483335233
78712212,-99.5061491779784
78712762,-99.4351668301623
78713312,-99.8538566301331
78713862,-99.3725711438218
78714412,-99.2532113566503
78714962,-99.576464774027
78715512,-99.6832854032517
78716062,-99.1337051994489
78716612,-99.2436175170986
78717162,-99.3996572492009
78717712,-99.3594560792991
78718262,-99.6626611073755
78718812,-99.8302867537657
78719362,-99.4067313140476
78719912,-99.4865965826849
78720462,-99.8159655925282
78721012,-100.246639909231
78721562,-99.7629156596867
78722112,-99.9007034208543
78722662,-100.26863045597
78723212,-99.4254078272721
78723762,-99.5441725240402
78724312,-99.6851847501578
78724862,-99.9204163426752
78725412,-99.1896445876205
78725962,-99.3717273453068
78726512,-99.7950427160723
78727062,-99.6138947477214
78727612,-99.9212824355062
78728162,-99.7817956044616
78728712,-100.176664291715
78729262,-99.9386981689651
78729812,-99.6078737800803
78730362,-99.8641933513853
78730912,-99.4880384218507
78731462,-99.1764132381654
78732012,-99.2090155233187
78732562,-99.4432754612258
78733112,-99.1720264519732
78733662,-99.2576739689138
78734212,-98.8266854132049
78734762,-98.8788244177708
78735312,-99.0763815819963
78735862,-99.0689790738595
78736412,-99.5200736162745
78736962,-99.6502622312027
78737512,-98.9892547913099
78738062,-99.7897928967441
78738612,-99.8325587277818
78739162,-99.64227838505
78739712,-99.4139902999497
78740262,-98.4352592619227
78740812,-98.8564608089773
78741362,-99.6289017455643
78741912,-100.231017638449
78742462,-100.21869544242
78743012,-99.4890899117742
78743562,-98.8377772104523
78744112,-98.9435085161526
78744662,-99.4003084156489
