Trace
Swept SA
A.02.06,N9010A
78979914.5,-87.6909058381258
78979915,-89.3599512517394
78979915.5,-91.1502525732235
78979916,-92.9622481830978
78979916.5,-94.8420634053462
78979917,-96.6165778578044
78979917.5,-97.6144285039895
78979918,-97.8236922720459
78979918.5,-97.9640028921544
78979919,-98.3505951203802
78979919.5,-98.6807846391084
78979920,-98.6751838265913
78979920.5,-98.4145833107162
78979921,-98.4320712321285
78979921.5,-98.9325813199404
78979922,-99.4110977817075
78979922.5,-99.4293154097761
78979923,-99.2333532850355
78979923.5,-99.2009493538021
78979924,-99.3260348812647
78979924.5,-99.4907628136856
78979925,-99.7244234948954
78979925.5,-99.921645598184
78979926,-99.809684629018
78979926.5,-99.4309888567512
78979927,-99.1920130487034
78979927.5,-99.2421661875319
78979928,-99.328750262871
78979928.5,-99.254730646258
78979929,-99.0985876965829
78979929.5,-98.9303670111799
78979930,-98.7585821502072
78979930.5,-98.5410201662428
78979931,-98.2105480170994
78979931.5,-97.8563201449238
78979932,-97.6605239913125
78979932.5,-97.5920267338042
78979933,-97.6166776593522
78979933.5,-97.7452181252079
78979934,-97.9453992506353
78979934.5,-98.1843231831464
78979935,-98.4670039924057
78979935.5,-98.7238010745951
78979936,-99.0037654317184
78979936.5,-99.1310097810193
78979937,-98.8890428256997
78979937.5,-98.4529700341289
78979938,-98.1817872656787
78979938.5,-98.0561057167222
78979939,-97.9208814159086
78979939.5,-97.7059200539366
78979940,-97.4804229746579
78979940.5,-97.2751814162219
78979941,-97.0838381275953
78979941.5,-97.0468456054643
78979942,-97.2042661723283
78979942.5,-97.4815498326703
78979943,-97.8926343549037
78979943.5,-98.3947446941751
78979944,-98.7443059617761
78979944.5,-98.9425899029888
78979945,-99.0644306872729
78979945.5,-99.159856158907
78979946,-99.1680009225713
78979946.5,-98.9565889558038
78979947,-98.5392337644695
78979947.5,-98.2224461397508
78979948,-98.0661055216096
78979948.5,-98.0243078238945
78979949,-98.0986581838868
78979949.5,-98.2954344714854
78979950,-98.6870133865393
78979950.5,-99.3611714586616
78979951,-99.9542209128345
78979951.5,-100.158860146117
78979952,-100.21777134817
78979952.5,-100.481068377249
78979953,-100.9395250989
78979953.5,-101.146281695492
78979954,-100.880296896212
78979954.5,-100.438479787981
78979955,-100.260579062339
78979955.5,-100.161392190439
78979956,-98.9339165854727
78979956.5,-96.1797809582766
78979957,-93.0822035063606
78979957.5,-90.3427144231508
78979958,-87.7207701621277
78979958.5,-85.5379050117213
78979959,-83.7753894184981
78979959.5,-82.3273107484742
78979960,-81.1716943096317
78979960.5,-80.309753055966
78979961,-79.7172031957052
78979961.5,-79.396203555163
78979962,-79.341605308721
78979962.5,-79.5499519669683
78979963,-80.0284207011484
78979963.5,-80.7767302928646
78979964,-81.7982141048311
78979964.5,-83.1139994359591
78979965,-84.7150765316643
78979965.5,-86.6401221088856
78979966,-89.0902330867399
78979966.5,-91.7272111567327
78979967,-93.9443454986125
78979967.5,-95.873402346282
78979968,-97.3123927135243
78979968.5,-98.0891625011602
78979969,-98.5382231645975
78979969.5,-98.9436430801661
78979970,-99.2256299602439
78979970.5,-99.5607725722301
78979971,-99.9524508458369
78979971.5,-100.385600354724
78979972,-100.913211277988
78979972.5,-101.457445464635
78979973,-101.833331483472
78979973.5,-102.067347178098
78979974,-102.166688680448
78979974.5,-102.158100912805
78979975,-101.977496664931
78979975.5,-101.483556722773
78979976,-100.729926865389
78979976.5,-100.072056325077
78979977,-99.5210366774234
78979977.5,-99.1005320491979
78979978,-98.8826938882254
78979978.5,-98.8272541371022
78979979,-98.9138917832326
78979979.5,-99.1735496313565
78979980,-99.4323851334983
78979980.5,-99.5940197371443
78979981,-99.7434532834612
78979981.5,-99.9516044182228
78979982,-100.202647696848
78979982.5,-100.439942121021
78979983,-100.676102372729
78979983.5,-100.858900077792
78979984,-100.914973021193
78979984.5,-100.882836304491
78979985,-100.832080439444
78979985.5,-100.745572052317
78979986,-100.689367557458
78979986.5,-100.752955749102
78979987,-100.828449601412
78979987.5,-100.690406630708
78979988,-100.348196745598
78979988.5,-100.27867854911
78979989,-100.842406405603
78979989.5,-101.349827768983
78979990,-100.966502064546
78979990.5,-100.040036918653
78979991,-99.4824648111218
78979991.5,-99.377359958942
78979992,-99.4376438932893
78979992.5,-99.59233175076
78979993,-99.8346964061559
78979993.5,-99.9451465096917
78979994,-99.9212379524168
78979994.5,-100.000457283926
78979995,-100.357451959253
78979995.5,-100.726196005856
78979996,-100.778207750888
78979996.5,-100.610936920496
78979997,-100.450475540344
78979997.5,-100.306987917566
78979998,-100.191090689883
78979998.5,-100.171444244584
78979999,-100.190231027552
78979999.5,-100.081497264748
78980000,-99.8188910474407
78980000.5,-99.646949582431
78980001,-99.7261841299888
78980001.5,-99.8761536563393
78980002,-99.8728394856735
78980002.5,-99.7622332660002
78980003,-99.7290238190805
78980003.5,-99.8011427109846
78980004,-99.9599505642153
78980004.5,-100.330409365348
78980005,-100.788197493313
78980005.5,-100.751579325905
78980006,-100.277448297245
78980006.5,-99.202212128665
78980007,-97.1581073701786
78980007.5,-94.6195461174974
78980008,-92.4339670277647
78980008.5,-90.446873655018
78980009,-88.6989229491428
78980009.5,-87.2063054096834
78980010,-85.9772565488305
78980010.5,-85.0498345246873
78980011,-84.4112475294701
78980011.5,-84.0447193083784
78980012,-83.9509545722409
78980012.5,-84.1359147593465
78980013,-84.5937603506822
78980013.5,-85.3309349628617
78980014,-86.3672338838919
78980014.5,-87.7058505050093
78980015,-89.3011784546731
78980015.5,-91.2777860387999
78980016,-93.3454638641467
78980016.5,-95.0952964931693
78980017,-96.6355353212539
78980017.5,-97.8318656294257
78980018,-98.6203821324254
78980018.5,-99.1633877639112
78980019,-99.5241558047986
78980019.5,-99.7236146620078
