x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+440.00E-09,,,,
+441.00E-09,+78.74370413E-03,+76.11809485E-03,-2.73241103E-03,-2.07028538E-03
+442.00E-09,+89.79898039E-03,+77.62563252E-03,-2.73241103E-03,-2.07028538E-03
+443.00E-09,+102.86430689E-03,+80.13819531E-03,-2.73241103E-03,-2.07028538E-03
+444.00E-09,+110.90450780E-03,+80.13819531E-03,-2.73241103E-03,-2.07028538E-03
+445.00E-09,+118.94470872E-03,+81.64573298E-03,-2.73241103E-03,-2.07028538E-03
+446.00E-09,+129.99998499E-03,+84.15829577E-03,-2.73241103E-03,-2.07028538E-03
+447.00E-09,+143.06531148E-03,+84.15829577E-03,-2.73241103E-03,-2.07028538E-03
+448.00E-09,+151.10551240E-03,+84.15829577E-03,-2.73241103E-03,-17.14566210E-03
+449.00E-09,+159.14571332E-03,+85.91708972E-03,-2.73241103E-03,-42.27128997E-03
+450.00E-09,+167.18591424E-03,+88.17839622E-03,-2.73241103E-03,-24.68335046E-03
+451.00E-09,+175.22611516E-03,+88.17839622E-03,-2.73241103E-03,-17.14566210E-03
+452.00E-09,+183.26631607E-03,+89.93719018E-03,-973.61708E-06,-42.27128997E-03
+453.00E-09,+188.29144165E-03,+92.19849668E-03,+1.28768943E-03,-42.27128997E-03
+454.00E-09,+191.30651699E-03,+93.95729064E-03,-219.84824E-06,-42.27128997E-03
+455.00E-09,+196.33164257E-03,+96.21859714E-03,-2.73241103E-03,-42.27128997E-03
+456.00E-09,+199.34671791E-03,+96.21859714E-03,-4.23994870E-03,-42.27128997E-03
+457.00E-09,+204.37184349E-03,+96.21859714E-03,-6.75251149E-03,-42.27128997E-03
+458.00E-09,+204.37184349E-03,+96.21859714E-03,-6.75251149E-03,-24.68335046E-03
+459.00E-09,+204.37184349E-03,+97.97739109E-03,-4.99371754E-03,-2.07028538E-03
+460.00E-09,+204.37184349E-03,+98.73115993E-03,-2.73241103E-03,-2.07028538E-03
+461.00E-09,+204.37184349E-03,+96.21859714E-03,-2.73241103E-03,-2.07028538E-03
+462.00E-09,+204.37184349E-03,+96.21859714E-03,-973.61708E-06,-2.07028538E-03
+463.00E-09,+204.37184349E-03,+96.21859714E-03,+1.28768943E-03,-2.07028538E-03
+464.00E-09,+200.85425559E-03,+94.71105947E-03,+1.28768943E-03,-2.07028538E-03
+465.00E-09,+196.33164257E-03,+90.69095901E-03,+1.28768943E-03,-2.07028538E-03
+466.00E-09,+192.81405467E-03,+86.67085855E-03,-219.84824E-06,-2.07028538E-03
+467.00E-09,+184.77385375E-03,+84.15829577E-03,-2.73241103E-03,-2.07028538E-03
+468.00E-09,+176.73365283E-03,+82.65075809E-03,-2.73241103E-03,-2.07028538E-03
