Trace
Swept SA
A.02.06,N9010A
526 FSA ,01
Segment,0
Number of Points,1001
Sweep Time,1.832333333333
Start Frequency,78980007
Stop Frequency,78980117
Average Count,0
Average Type,LogPower(Video)
RBW,1
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
78980007,-108.726532112283
78980007.11,-107.949812760226
78980007.22,-107.807891038402
78980007.33,-107.852806566636
78980007.44,-107.860761037416
78980007.55,-107.602225190371
78980007.66,-107.441894344652
78980007.77,-107.350942991356
78980007.88,-107.321249612209
78980007.99,-107.388096749658
78980008.1,-107.097099983443
78980008.21,-106.71013821299
78980008.32,-106.477477397219
78980008.43,-106.366225233246
78980008.54,-106.372222010169
78980008.65,-106.493482301478
78980008.76,-106.726849922444
78980008.87,-106.987236650186
78980008.98,-107.334046787374
78980009.09,-107.664014312925
78980009.2,-107.637394843444
78980009.31,-107.610662277056
78980009.42,-107.65660721404
78980009.53,-107.805854853646
78980009.64,-107.986214438173
78980009.75,-108.133629174963
78980009.86,-108.243159584757
78980009.97,-108.327290619553
78980010.08,-108.390465290694
78980010.19,-108.514117858066
78980010.3,-108.552819516603
78980010.41,-108.180685048029
78980010.52,-106.432562442642
78980010.63,-103.89860704742
78980010.74,-100.961553730794
78980010.85,-97.5138425618675
78980010.96,-94.4884483493987
78980011.07,-91.9398560154557
78980011.18,-89.7961481679951
78980011.29,-88.0069850179554
78980011.4,-86.5520582681689
78980011.51,-85.4162293641617
78980011.62,-84.5868682847985
78980011.73,-84.0541101157972
78980011.84,-83.8140085446926
78980011.95,-83.8644316600228
78980012.06,-84.2048126872958
78980012.17,-84.8398897992642
78980012.28,-85.7770082140918
78980012.39,-87.0255114689332
78980012.5,-88.6022147116161
78980012.61,-90.5342094500079
78980012.72,-92.8534684658687
78980012.83,-95.5985691734276
78980012.94,-98.9652588277736
78980013.05,-102.389915994108
78980013.16,-105.412006877872
78980013.27,-107.526613961706
78980013.38,-108.203074394913
78980013.49,-108.310448743451
78980013.6,-108.539236622938
78980013.71,-108.822808267546
78980013.82,-109.158074854164
78980013.93,-109.362147462494
78980014.04,-109.203014121051
78980014.15,-108.729698070409
