Trace
Swept SA
A.02.06,N9010A
526 FSA ,01
Segment,0
Number of Points,1001
Sweep Time,0.729533333333
Start Frequency,78950062
Stop Frequency,79010062
Average Count,0
Average Type,LogPower(Video)
RBW,560
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,560
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
78950062,-99.1827880609828
78950122,-99.0008042320327
78950182,-99.3421975867479
78950242,-99.3924788347871
78950302,-100.550302227222
78950362,-99.7081742930712
78950422,-98.4477818378347
78950482,-99.0125172930893
78950542,-98.710184819272
78950602,-99.2917847000169
78950662,-98.1797813431412
78950722,-99.0781245804142
78950782,-98.5648083284405
78950842,-97.7501631617557
78950902,-98.6812314151585
78950962,-98.9317665621733
78951022,-98.9540742790422
78951082,-98.6950182410066
78951142,-98.4888308384363
78951202,-98.6069044000532
78951262,-99.6728434424953
78951322,-99.1833069227604
78951382,-98.4387517360891
78951442,-98.5821442433824
78951502,-98.8985978789202
78951562,-98.7374491999805
78951622,-98.2620332904775
78951682,-99.408435273056
78951742,-100.926523839653
78951802,-100.042011767366
78951862,-98.1963166719019
78951922,-98.7474445880706
78951982,-99.3924199090504
78952042,-99.2372050094498
78952102,-98.6725593354484
78952162,-99.0186372527998
78952222,-99.644874323235
78952282,-98.6120400749105
78952342,-98.6105011372173
78952402,-98.8600324493814
78952462,-99.2310947007923
78952522,-100.268524833477
78952582,-99.2740370764459
78952642,-99.363334039012
78952702,-99.2113091034922
78952762,-98.5652858842683
78952822,-98.9346304627126
78952882,-98.9354561137785
78952942,-98.0115937153477
78953002,-98.9410558329896
78953062,-98.4608884385269
78953122,-97.9807879663877
78953182,-98.4854048678116
78953242,-100.092901658436
78953302,-100.074810599428
78953362,-98.3935436524936
78953422,-98.6668100820143
78953482,-98.4728025422981
78953542,-99.8110485185482
78953602,-99.465774220566
78953662,-98.9521902792988
78953722,-98.5881108084486
78953782,-100.613827505277
78953842,-100.665112588166
78953902,-99.186865662907
78953962,-98.960133107061
78954022,-99.1426305586456
78954082,-100.763266432092
78954142,-99.8434639879459
78954202,-99.3040926447386
78954262,-98.3129063889937
78954322,-99.3955760122793
78954382,-99.2142837140041
78954442,-98.8954437337546
