Trace
Swept SA
A.02.06,N9010A
526 FSA ,01
Segment,0
Number of Points,1001
Sweep Time,0.022466666667
Start Frequency,78975062
Stop Frequency,78985062
Average Count,0
Average Type,LogPower(Video)
RBW,91
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,91
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
78975062,-104.499461525887
78975072,-104.394726838622
78975082,-104.311798010122
78975092,-104.308004763964
78975102,-104.418904767834
78975112,-104.639886295316
78975122,-104.510768666965
78975132,-104.295486356697
78975142,-104.158232505626
78975152,-104.090726406225
78975162,-104.146182231887
78975172,-104.324388899446
78975182,-104.517676615175
78975192,-104.590448542638
78975202,-104.64461461322
78975212,-104.686112188161
78975222,-104.71969251578
78975232,-104.787712520881
78975242,-105.07012043908
78975252,-105.105322512629
78975262,-105.138412807975
78975272,-105.195588834302
78975282,-105.044627608367
78975292,-104.781984323998
78975302,-104.243601274806
78975312,-103.660274522003
78975322,-103.367019775095
78975332,-103.184657280816
78975342,-103.126895478319
78975352,-103.283144033434
78975362,-103.59970969572
78975372,-103.624347254073
78975382,-103.912694088228
78975392,-104.179619650813
78975402,-104.498632604466
78975412,-105.269706767396
78975422,-105.519013419569
78975432,-105.383395216663
78975442,-105.041378354666
78975452,-104.719112163286
78975462,-104.710476218317
78975472,-104.51694697846
78975482,-104.445324138529
78975492,-104.682953827482
78975502,-104.963213823857
78975512,-105.080231489074
78975522,-105.012521512447
78975532,-104.87250964514
78975542,-104.866977781027
78975552,-104.620292020958
78975562,-104.382475004941
78975572,-104.161584621965
78975582,-103.924366132109
78975592,-103.818080593918
78975602,-103.724238674707
78975612,-103.578575713542
78975622,-103.413306814685
78975632,-103.431696577342
78975642,-103.527449826771
78975652,-103.798169965372
78975662,-104.038020491206
78975672,-103.851323012003
78975682,-103.587064452976
78975692,-103.645789522835
78975702,-103.807814152916
78975712,-103.76330879486
78975722,-103.678685873876
78975732,-103.580727202813
78975742,-103.508654844014
78975752,-103.474140853156
78975762,-103.441515180295
78975772,-103.5206507137
78975782,-103.699533359802
78975792,-103.82482355459
78975802,-103.698330955743
78975812,-103.821400431188
78975822,-104.132657259765
78975832,-104.515623429983
78975842,-104.784046761644
