Trace
Swept SA
A.02.06,N9010A
526 FSA ,01
Segment,0
Number of Points,1001
Sweep Time,0.104
Start Frequency,78979062
Stop Frequency,78981062
Average Count,0
Average Type,LogPower(Video)
RBW,18
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,18
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
78979062,-106.430337631909
78979064,-106.74476662766
78979066,-106.419887044297
78979068,-105.9114381241
78979070,-105.681887638456
78979072,-105.609098237577
78979074,-105.446905945567
78979076,-105.244311594434
78979078,-105.072117568748
78979080,-105.008204084127
78979082,-105.158323557809
78979084,-105.364131319565
78979086,-105.485385320857
78979088,-105.417540332371
78979090,-105.282843877901
78979092,-105.105235647066
78979094,-105.064510200937
78979096,-105.093976806727
78979098,-104.343780266216
78979100,-103.767756122274
78979102,-103.382937806357
78979104,-102.964730767418
78979106,-102.084078581737
78979108,-101.509421464601
78979110,-100.778205089733
78979112,-99.9050738197753
78979114,-99.1072515655398
78979116,-98.5798524665812
78979118,-98.3203952632822
78979120,-98.3296052872745
78979122,-98.6054359297386
78979124,-99.1402940544544
78979126,-99.9076375943829
78979128,-100.878395816025
78979130,-101.992388448242
78979132,-103.151585532005
78979134,-104.015310888825
78979136,-104.598933339527
78979138,-105.009527490665
78979140,-105.304904088257
78979142,-104.928524115762
78979144,-104.677004103027
78979146,-104.659952117806
78979148,-104.832934529571
78979150,-105.053842554687
78979152,-105.059663300797
78979154,-104.964176923387
78979156,-104.888217715145
78979158,-104.94433106584
78979160,-104.816557844907
78979162,-104.809605938792
78979164,-104.903037859534
78979166,-104.970462759802
78979168,-104.905311397456
78979170,-104.729844394929
78979172,-104.52506221062
78979174,-104.37196046373
78979176,-104.334821311015
78979178,-104.366870871932
78979180,-104.473130509679
78979182,-104.62263550795
78979184,-104.768823462931
78979186,-105.063228634999
78979188,-105.364412701055
78979190,-105.704145901947
78979192,-106.041834044019
78979194,-105.76219734257
78979196,-105.630492582528
78979198,-105.555629718067
78979200,-105.425145691717
78979202,-105.217631265558
78979204,-105.253951089483
78979206,-105.285504504057
78979208,-105.17937670136
78979210,-104.907114914775
78979212,-104.711142760229
78979214,-104.334261454092
78979216,-103.959046449869
